Region,Pol,Obrazovanje,Radni status,Nacionalnost,Mesto stanovanja,Starost kategorija,independent_summary
Vojvodina,Žensko,Visoka  škola ili fakultet,Učenik/Student,srpska ,Selo (Ruralno naselje),18 do 29,"Ispitanik koristi kablovsku televiziju i internet usluge, dok ne koristi zemaljsku antenu i striming aplikacije. Najčešće koristi društvene mreže, posebno Instagram, gde provodi značajno vreme. U dnevnom rasporedu, najviše vremena posvećuje radiju (200 minuta) i društvenim mrežama (120 minuta). Ima poverenje u Instagram i TikTok, dok ne veruje u tradicionalne medije. Prati informativno-zabavne programe i sportske prenose, a smatra da su štetni sadržaji najzastupljeniji na televiziji, posebno na kanalu Pink. Kombinuje više medija kako bi došao do relevantnih sadržaja."
Zapadna Srbija sa Šumadijom,Žensko,Četvorogodišnja srednja škola,Zaposlen kod privatnika,srpska ,Selo (Ruralno naselje),30 do 39,"Ispitanik koristi kablovsku televiziju, internet usluge i striming aplikacije, a najčešće koristi internet. Dnevno provodi 60 minuta uz televiziju, 30 minuta uz radio, 60 minuta na informativnim internet portalima, 60 minuta na društvenim mrežama i 30 minuta na striming servisima. Ima poverenje u kablovske i specijalizovane informativne kanale, kao i u internet portale i društvene mreže. Kombinuje više medija za pronalaženje sadržaja, a najčešće prati informativno zabavne programe i putopise. Smatra da su štetni sadržaji veoma zastupljeni, posebno na televiziji, gde je primetio najviše dezinformacija."
Vojvodina,Muško,Dvogodišnja ili trogodišnja srednja škola,Penzioner,srpska ,Selo (Ruralno naselje),Više od 70,"Ispitanik koristi zemaljsku (terestrijalnu) antenu za gledanje televizije, provodeći 300 minuta dnevno uz TV i 120 minuta uz radio. Ima puno poverenje u nacionalne i regionalne TV stanice, dok ne može da proceni poverenje u kablovske i specijalizovane informativne kanale. Najčešće prati informativne programe i reportaže, a preferira kvizove i domaće filmove. Kombinuje više medija za pronalaženje sadržaja, a najčešće se oslanja na TV stanice. Smatra da su štetni sadržaji najzastupljeniji u štampanim novinama, a veruje da je više štetnih sadržaja nego korisnih u medijima."
Vojvodina,Muško,Četvorogodišnja srednja škola,"Zaposlen u javnoj administraciji (lokalna, republička)",srpska ,Grad (Urbano naselje),60 do 69,"Ispitanik koristi kablovsku televiziju kao primarnu medijsku uslugu, dok internet usluge i društvene mreže (posebno Instagram i Twitter) takođe igraju značajnu ulogu u njegovim medijskim navikama. Prosečno provodi 45 minuta dnevno gledajući televiziju i 120 minuta na društvenim mrežama. Ispitanik nema poverenja u većinu medija, uključujući kablovske i lokalne TV stanice, ali se oslanja na informativno-dokumentarne programe i humorističke emisije. Kombinuje više medija za pronalaženje sadržaja, a najčešće prati Facebook, iako ne veruje u njega. Smatra da su štetni sadržaji najzastupljeniji u štampanim novinama."
Zapadna Srbija sa Šumadijom,Muško,Visoka  škola ili fakultet,"Zaposlen u javnoj administraciji (lokalna, republička)",srpska ,Selo (Ruralno naselje),40 do 49,"Ispitanik ne koristi zemaljsku i kablovsku televiziju, ali koristi internet usluge. Ne prati striming aplikacije i ne provodi vreme uz televiziju, radio ili društvene mreže, osim YouTube-a, koji prati svakodnevno. Ispitanik nema poverenja u sve medijske kanale, uključujući TV stanice, štampane medije i društvene mreže. Iako ima poverenja u YouTube, ne smatra ga nepristrasnim. Zainteresovan je za medije koji bi mogli da mu pruže pravovremene informacije, ali ne prati specifične medijske teme. Ne zna kako bi mogao da pronađe sadržaje koji ga zanimaju i smatra da su štetni sadržaji prisutni u medijima."
Vojvodina,Žensko,Četvorogodišnja srednja škola,Nezaposlen (radno sposoban),srpska ,Selo (Ruralno naselje),18 do 29,"Ispitanik koristi zemaljsku antenu za gledanje televizije, dok ne koristi kablovsku televiziju i striming aplikacije. Internet usluge su prisutne, a najviše vremena provodi na društvenim mrežama, posebno na Instagramu, gde svakodnevno prati sadržaje. Ispitanik nema poverenja u tradicionalne medije, ali ima poverenje u društvene mreže poput Instagrama, Facebooka i TikToka. Zanimaju ga zabavni i filmski sadržaji, dok ne prati informativne, dokumentarne ili sportske programe. Smatra da su štetni sadržaji najzastupljeniji na internet portalima."
Vojvodina,Muško,Četvorogodišnja srednja škola,Zaposlen kod privatnika,srpska ,Selo (Ruralno naselje),30 do 39,"Ispitanik koristi kablovsku televiziju i internet usluge, kao i striming aplikacije, pri čemu najčešće prati sadržaje na N1. Dnevno provodi 120 minuta uz televiziju, 600 minuta uz radio, 480 minuta uz informativne portale, 120 minuta na društvenim mrežama i 120 minuta na striming servisima. Ima puno poverenje u kablovske TV stanice i radio, dok ne veruje u nacionalne TV stanice i štampane medije. Zainteresovan je za informativne, naučno-obrazovne, kulturne i filmske sadržaje, a najčešće prati vesti i putopise. Kombinuje više medija za pronalaženje sadržaja i smatra da su štetni sadržaji najzastupljeniji na televiziji."
Beograd,Žensko,Četvorogodišnja srednja škola,Učenik/Student,srpska ,Grad (Urbano naselje),18 do 29,"Ispitanik koristi kablovsku televiziju, internet usluge i striming aplikacije, dok ne koristi zemaljsku antenu. Najčešće provodi 240 minuta dnevno na društvenim mrežama, posebno na Instagramu, i 300 minuta na striming servisima. Ima nisko poverenje u sve vrste medija, uključujući televiziju i štampu, dok smatra da su štetni sadržaji najzastupljeniji na televiziji, posebno na kanalu Pink. Ispitanik kombinuje više medija za pronalaženje sadržaja i ne prati informativne, dokumentarne, kulturne ili zabavne programe, ali je zainteresovan za verske, filmske i muzičke sadržaje."
Južna i Istočna Srbija,Žensko,Četvorogodišnja srednja škola,"Zaposlen u javnoj administraciji (lokalna, republička)",srpska ,Selo (Ruralno naselje),40 do 49,"Ispitanik koristi zemaljsku i kablovsku televiziju, internet usluge, kao i striming aplikacije. Najčešće koristi internet, provodeći 120 minuta dnevno uz televiziju, 30 minuta uz radio, 30 minuta uz informativne portale, 60 minuta na društvenim mrežama i 60 minuta na striming servisima. Ima poverenje u kablovske TV stanice i specijalizovane informativne kanale, dok ne veruje u nacionalne i lokalne TV stanice, štampane medije i internet portale. Prati aktuelne informativne emisije i dokumentarne filmove, a najčešće koristi Facebook. Kombinuje više medija za pronalaženje sadržaja i smatra da su štetni sadržaji najzastupljeniji na televiziji."
Beograd,Muško,Dvogodišnja ili trogodišnja srednja škola,Penzioner,srpska ,Grad (Urbano naselje),Više od 70,"Ispitanik koristi zemaljsku antenu za gledanje televizije, provodeći 90 minuta dnevno uz TV, dok ne koristi kablovsku televiziju, internet usluge, striming aplikacije ili društvene mreže. Ima poverenje u nacionalne TV stanice, dok ne veruje u kablovske, specijalizovane informativne kanale, štampane medije, radio stanice i internet portale. Najčešće prati program Pink, smatra da je taj medij objektivan i pravovremen, a najviše ga zanimaju informativni, zabavni i muzički programi. Kombinuje više medija za pronalaženje sadržaja i svakodnevno se informiše putem nacionalnih TV stanica."
Južna i Istočna Srbija,Žensko,Visoka  škola ili fakultet,"Zaposlen u javnoj administraciji (lokalna, republička)",srpska ,Selo (Ruralno naselje),30 do 39,"Ispitanik koristi kablovsku televiziju, internet usluge i striming aplikacije, dok zemaljsku antenu ne koristi. Najčešće koristi internet usluge, provodeći 300 minuta dnevno na informativnim portalima i 60 minuta na društvenim mrežama. Ima neutralan stav prema poverenju u medije, a najčešće prati Telegraf. Kombinuje više medija za pronalaženje sadržaja, a najviše koristi specijalizovane informativne kanale. Zainteresovan je za kulturno-umetnički program, dok su mu zabavni i dečiji programi manje zanimljivi. Smatra da su štetni sadržaji prisutni, posebno na internet portalima."
Beograd,Muško,Četvorogodišnja srednja škola,Zaposlen kod privatnika,srpska ,Grad (Urbano naselje),50 do 59,"Ispitanik provodi 60 minuta dnevno gledajući televiziju i 120 minuta slušajući radio, dok ne koristi internet portale, društvene mreže ili striming servise. Najčešće prati TV stanice sa nacionalnom pokrivenošću, ali nema jasno izraženo poverenje u njih. Ne prati dokumentarne, kulturne, zabavne ili dečije programe, dok se u dečijem programu fokusira na crtane filmove. Ispitanik ne zna ili ne može da proceni razloge za izbor medija, kao ni nivo poverenja u medije. Takođe, ne može da proceni zastupljenost štetnih sadržaja u medijima."
Beograd,Muško,Visoka  škola ili fakultet,Učenik/Student,srpska ,Grad (Urbano naselje),18 do 29,"Ispitanik koristi internet usluge i striming aplikacije, dok ne koristi kablovsku i zemaljsku televiziju. Dnevno provodi 90 minuta na informativnim internet portalima, društvenim mrežama i striming servisima. Najčešće koristi Instagram i YouTube, uz poverenje u internet sajtove i YouTube, dok nema poverenja u TV stanice i štampane medije. Zainteresovan je za verske i sportske programe, ali ne prati rijaliti i dečije programe. Kombinuje više medija za pronalaženje sadržaja, a smatra da su štetni sadržaji najzastupljeniji na internet portalima."
Beograd,Muško,Četvorogodišnja srednja škola,Penzioner,srpska ,Grad (Urbano naselje),Više od 70,"Ispitanik koristi kablovsku televiziju kao primarni izvor medijskih sadržaja, provodeći 360 minuta dnevno gledajući televiziju, dok internet portale i društvene mreže koristi 30 minuta dnevno. Ima poverenje u nacionalne TV stanice i štampane medije, dok ne pokazuje poverenje prema kablovskim i specijalizovanim informativnim kanalima. Najčešće prati vesti i dokumentarne filmove, a preferira sadržaje koji su u skladu sa njegovim uverenjima. Ispitanik smatra da su štetni sadržaji u medijima uopšte odsutni. Medijske sadržaje pronalazi isključivo preko jednog medija, konkretno TV stanica."
Beograd,Muško,Visoka  škola ili fakultet,Zaposlen kod privatnika,srpska ,Grad (Urbano naselje),50 do 59,"Ispitanik koristi kablovsku televiziju kao primarni izvor medijskih sadržaja, provodeći 180 minuta dnevno gledajući televiziju i 60 minuta na društvenim mrežama. Ima puno poverenje u nacionalne TV stanice, dok ne veruje lokalnim i specijalizovanim kanalima. Najčešće prati informativne programe, posebno vesti, i kombinuje više medija za pronalaženje sadržaja. Ne prati striming servise i ne pokazuje interesovanje za zabavne, dokumentarne ili sportske programe. Smatra da mediji u Srbiji ne sadrže štetne sadržaje, ali bi mogao prestati da prati svoj omiljeni medij zbog gubitka poverenja ili kašnjenja informacija."
Južna i Istočna Srbija,Žensko,Četvorogodišnja srednja škola,Zaposlen kod privatnika,srpska ,Grad (Urbano naselje),40 do 49,"Ispitanik koristi kablovsku televiziju kao primarni izvor medijskih sadržaja, provodeći 180 minuta dnevno gledajući televiziju, dok internet i društvene mreže koriste u manjoj meri. Ima osrednje poverenje u kablovske TV stanice i kombinuje više medija za pronalaženje sadržaja. Najčešće prati informativne programe i strane serije, dok je zainteresovan za zabavne i filmske sadržaje. Ispitanik smatra da su štetni sadržaji najzastupljeniji na televiziji, posebno na kanalu Pink. Zainteresovan je za pravovremene i objektivne informacije, ali ne veruje u sve medije koje prati."
Vojvodina,Muško,Završena osnovna škola ili manje,Nezaposlen (radno sposoban),romska,Selo (Ruralno naselje),30 do 39,"Ispitanik koristi internet usluge, ali ne koristi kablovsku televiziju, zemaljsku antenu, niti striming aplikacije. Najčešće prati TV stanice sa nacionalnom pokrivenošću, posebno Pink, i provodi 39 minuta dnevno gledajući televiziju, 50 minuta na društvenim mrežama, dok ne prati radio, informativne portale, striming servise, dokumentarne, zabavne, dečije, filmske, serijske ili sportske programe. Ispitanik nema poverenja u medije koje prati, ali smatra da su sadržaji lako dostupni i u skladu sa njegovim uverenjima. Zainteresovan je za informativne, dokumentarne i naučno-obrazovne programe, ali ne prati kulturne, zabavne, dečije, verske, muzičke, sportske programe."
Vojvodina,Žensko,Završena osnovna škola ili manje,Penzioner,srpska ,Grad (Urbano naselje),Više od 70,"Ispitanik koristi kablovsku televiziju kao primarni izvor medijskih sadržaja, provodeći 240 minuta dnevno gledajući televiziju, dok ne koristi internet usluge, striming aplikacije ili društvene mreže. Ima puno poverenje u nacionalne i lokalne TV stanice, dok je poverenje u kablovske stanice neutralno. Najčešće prati informativno-zabavne programe i takmičenja, a TV Happy je njegov omiljeni medij. Iako kombinuje više medija za pronalaženje sadržaja, smatra da su štetni sadržaji najzastupljeniji na televiziji, posebno na kanalu N1."
Južna i Istočna Srbija,Žensko,Četvorogodišnja srednja škola,Učenik/Student,srpska ,Grad (Urbano naselje),18 do 29,"Ispitanik koristi kablovsku televiziju, internet usluge i striming aplikacije, dok ne koristi zemaljsku antenu. Najčešće koristi društvene mreže, posebno Twitter, gde provodi značajno vreme (360 minuta dnevno). Ima poverenje u kablovske TV stanice i radio, dok ne veruje u nacionalne TV stanice. Prati informativne portale i društvene mreže, a najviše se interesuje za vesti, dokumentarne filmove i dečije programe. Smatra da su štetni sadržaji veoma zastupljeni, posebno na televiziji, i preferira medij koji bi pokrivao informativne, naučno-obrazovne i kulturne teme."
Zapadna Srbija sa Šumadijom,Žensko,Visoka  škola ili fakultet,"Zaposlen u javnoj administraciji (lokalna, republička)",bošnjačka,Grad (Urbano naselje),50 do 59,"Ispitanik koristi kablovsku televiziju i internet usluge, dok ne koristi zemaljsku antenu i striming aplikacije. Najčešće prati TV stanice sa nacionalnom pokrivenošću, posebno Pink, ali nema poverenja u njih. Dnevno provodi 120 minuta uz televiziju i 30 minuta na društvenim mrežama, dok informativne portale koristi minimalno. Zainteresovan je za dokumentarne i sportske programe, ali ne prati rijaliti, muzičke ili dečije sadržaje. Kombinuje više medija za pronalaženje sadržaja, a smatra da su štetni sadržaji najzastupljeniji na televiziji, posebno na Pinku."
Vojvodina,Muško,Završena osnovna škola ili manje,Nezaposlen (radno sposoban),srpska ,Selo (Ruralno naselje),60 do 69,"Ispitanik koristi zemaljsku antenu za gledanje televizije, dok ne koristi kablovsku televiziju i striming aplikacije. Dnevno provodi 240 minuta uz televiziju i 60 minuta na informativnim internet portalima i društvenim mrežama. Ima poverenje u nacionalne TV stanice i internet portale, dok ne veruje kablovskim stanicama. Najčešće prati informativne programe i reportaže, a kombinuje više medija za pronalaženje sadržaja. Zainteresovan je za zabavne i sportske programe, ali smatra da su štetni sadržaji najzastupljeniji na televiziji."
Zapadna Srbija sa Šumadijom,Muško,Visoka  škola ili fakultet,Nezaposlen (radno sposoban),srpska ,Selo (Ruralno naselje),40 do 49,"Ispitanik koristi kablovsku televiziju i internet usluge, dok ne koristi zemaljsku antenu i striming aplikacije. Najčešće prati TV stanice sa nacionalnom pokrivenošću i YouTube, provodeći 20 minuta dnevno uz televiziju, 30 minuta uz informativne portale, 60 minuta na društvenim mrežama i 90 minuta na striming servisima. Ima poverenje u kablovske i specijalizovane informativne kanale, dok ne veruje u štampane medije. Zainteresovan je za vesti, ali ne prati dokumentarne i zabavne programe. Kombinuje više medija za pronalaženje sadržaja, a smatra da su štetni sadržaji najzastupljeniji u štampanim dnevnim novinama."
Vojvodina,Žensko,Visoka  škola ili fakultet,"Zaposlen u javnoj administraciji (lokalna, republička)",srpska ,Selo (Ruralno naselje),40 do 49,"Ispitanik koristi kablovsku televiziju i internet usluge, dok ne koristi zemaljsku antenu i striming aplikacije. Najčešće provodi 50 minuta dnevno gledajući televiziju, 180 minuta slušajući radio, 20 minuta na informativnim internet portalima i 120 minuta na društvenim mrežama, posebno Facebook-u, kojem ima poverenje. Ispitanik ne veruje u većinu medija, osim u radio stanice i društvene mreže. Zainteresovan je za informativne i kulturne sadržaje, ali smatra da su štetni sadržaji najzastupljeniji na televiziji, posebno na kanalu Pink."
Beograd,Žensko,Dvogodišnja ili trogodišnja srednja škola,Zaposlen kod privatnika,srpska ,Grad (Urbano naselje),50 do 59,"Ispitanik koristi kablovsku televiziju kao primarni medij, provodeći 60 minuta dnevno gledajući TV, dok internet i društvene mreže koriste 15 i 30 minuta. Ne koristi zemaljsku antenu, striming aplikacije niti radio. Ima veoma malo poverenja u sve vrste medija, uključujući kablovske TV stanice i internet portale. Najčešće prati informativne programe i vesti, a preferira kombinaciju više medija za pronalaženje sadržaja. Zainteresovan je za filmski i serijski program, ali smatra da su štetni sadržaji, poput dezinformacija, veoma zastupljeni, posebno na televiziji."
Južna i Istočna Srbija,Žensko,Završena osnovna škola ili manje,"Zaposlen u javnoj administraciji (lokalna, republička)",srpska ,Selo (Ruralno naselje),50 do 59,"Ispitanik koristi zemaljsku i kablovsku televiziju, kao i internet usluge, dok ne koristi striming aplikacije. Najčešće koristi internet, provodeći 120 minuta dnevno uz televiziju, 30 minuta uz radio, 20 minuta na informativnim portalima i 60 minuta na društvenim mrežama, pretežno Facebook-u. Ima puno poverenje u nacionalne i lokalne TV stanice, radio stanice i internet portale, dok ne veruje kablovskim TV stanicama. Zainteresovan je za informativne, zabavne i verske programe, a najčešće prati kvizove i domaće serije. Kombinuje više medija za pronalaženje sadržaja i smatra da su štetni sadržaji najzastupljeniji na televiziji, posebno na RTS-u."
Južna i Istočna Srbija,Žensko,Četvorogodišnja srednja škola,Nezaposlen (radno sposoban),romska,Grad (Urbano naselje),50 do 59,"Ispitanik ne koristi zemaljsku i kablovsku televiziju, ali aktivno koristi internet usluge i striming aplikacije, posebno Netflix. Dnevno provodi 60 minuta na informativnim internet portalima, društvenim mrežama i striming servisima. Najčešće koristi Instagram i ima poverenje u TV stanice i društvene mreže poput YouTube-a, Twitter-a i Tik-Tok-a. Prati informativno-dokumentarne programe i reportaže, dok ne prati zabavni i sportski program. Kombinuje više medija za pronalaženje sadržaja i smatra da su štetni sadržaji najzastupljeniji na televiziji, posebno u mediju Informer."
Vojvodina,Žensko,Četvorogodišnja srednja škola,Nezaposlen (radno sposoban),srpska ,Selo (Ruralno naselje),30 do 39,"Ispitanik koristi internet usluge kao primarni medij, provodeći 120 minuta dnevno na društvenim mrežama, dok televiziju gleda 120 minuta. Ima poverenje u kablovske i specijalizovane informativne kanale, ali ne veruje u TV stanice i internet portale. Najčešće prati Instagram, a preferira humorističke i filmske sadržaje. Zainteresovan je za zabavni i muzički program, dok rijaliti i sportski program ne prati. Kombinuje više medija za pronalaženje sadržaja, a smatra da su štetni sadržaji najzastupljeniji na internet portalima."
Zapadna Srbija sa Šumadijom,Muško,Završena osnovna škola ili manje,Penzioner,srpska ,Grad (Urbano naselje),Više od 70,"Ispitanik koristi zemaljsku (terestrijalnu) antenu za gledanje televizije, provodeći 300 minuta dnevno uz TV, dok ne koristi kablovsku televiziju, internet usluge, striming aplikacije ili društvene mreže. Najčešće prati regionalne ili lokalne TV stanice, ali nema poverenja u nijedan medij. Iako ne prati dokumentarne, kulturne, dečije ili sportske programe, uživa u zabavnim kvizovima. Kombinuje više medija za pronalaženje sadržaja, a TV Happy je medij koji najčešće prati. Ispitanik smatra da su štetni sadržaji u medijima prisutni, ali ne može da proceni njihovu zastupljenost."
Beograd,Muško,Visoka  škola ili fakultet,"Zaposlen u javnoj administraciji (lokalna, republička)",srpska ,Grad (Urbano naselje),40 do 49,"Ispitanik koristi kablovsku televiziju kao primarnu medijsku uslugu, provodeći 240 minuta dnevno uz televiziju i 60 minuta na društvenim mrežama. Ima poverenje u specijalizovane informativne kanale poput Euronews, dok ne veruje u većinu drugih medija, uključujući nacionalne i lokalne TV stanice. Zainteresovan je za sportski program, dok su mu ostale vrste sadržaja, poput zabavnog i dokumentarnog, neprivlačne. Kombinuje više medija kako bi pronašao relevantne informacije, a smatra da su štetni sadržaji najzastupljeniji na televiziji, posebno na kanalu Pink."
Zapadna Srbija sa Šumadijom,Žensko,Završena osnovna škola ili manje,Penzioner,srpska ,Selo (Ruralno naselje),Više od 70,"Ispitanik koristi zemaljsku (terestrijalnu) antenu za gledanje televizije, provodeći 200 minuta dnevno uz TV, dok ne koristi kablovsku televiziju, internet usluge, striming aplikacije ili društvene mreže. Ima puno poverenje u TV stanice koje su vidljive na teritoriji Srbije, posebno u Pink, koji prati svakodnevno. Zainteresovan je za zabavni i rijaliti program, kao i filmski sadržaj, dok ne prati dokumentarne, kulturne ili sportske programe. Ispitanik smatra da mediji ne sadrže štetne sadržaje i da Pink zadovoljava njegova interesovanja."
Beograd,Muško,Četvorogodišnja srednja škola,Zaposlen kod privatnika,srpska ,Grad (Urbano naselje),60 do 69,"Ispitanik koristi kablovsku televiziju kao primarnu medijsku uslugu, provodeći 120 minuta dnevno gledajući televiziju, uz dodatnih 30 minuta na radiju i 60 minuta na informativnim internet portalima. Ima poverenje u društvene mreže YouTube, dok ne veruje u većinu tradicionalnih medija. Najčešće prati informativno-zabavne programe i reportaže, a omiljeni sadržaji uključuju humorističke emisije i strane filmove. Kombinuje više medija za pronalaženje sadržaja, a najčešće koristi Radar. Zainteresovan je za razne medijske teme, uključujući informativne, dokumentarne i kulturne programe, ali ne prati rijaliti i dečije programe."
Zapadna Srbija sa Šumadijom,Žensko,Visoka  škola ili fakultet,Zaposlen kod privatnika,bošnjačka,Grad (Urbano naselje),18 do 29,"Ispitanik koristi zemaljsku i kablovsku televiziju, internet usluge, kao i striming aplikacije. Najčešće koristi internet, provodeći 10 minuta na informativnim portalima, 60 minuta na društvenim mrežama, i 120 minuta na striming servisima. Ima nisko poverenje u sve medije, uključujući društvene mreže, a najčešće prati Facebook bez izraženog poverenja. Zainteresovan je za informativne, naučno-obrazovne i kulturne sadržaje, dok ne prati dokumentarne, dečije i sportske programe. Medijske sadržaje pronalazi kombinovanjem više izvora, a često koristi društvene mreže, posebno Instagram."
Južna i Istočna Srbija,Žensko,Završena osnovna škola ili manje,Nezaposlen (radno sposoban),romska,Selo (Ruralno naselje),40 do 49,"Ispitanik koristi zemaljsku (terestrijalnu) antenu za gledanje televizije, provodeći 100 minuta dnevno uz TV i radio, dok ne koristi internet, kablovsku televiziju, striming aplikacije ili društvene mreže. Ima puno poverenje u nacionalne i regionalne TV stanice, dok ne može da proceni poverenje u kablovske i specijalizovane informativne kanale. Najčešće prati informativne programe i šou programe, dok ne prati dokumentarne, kulturne ili dečije programe. Medijske sadržaje pronalazi isključivo preko TV stanica, a smatra da su štetni sadržaji najzastupljeniji na televiziji, posebno na Prvoj TV."
Južna i Istočna Srbija,Žensko,Visoka  škola ili fakultet,Nezaposlen (radno sposoban),srpska ,Grad (Urbano naselje),18 do 29,"Ispitanik koristi kablovsku televiziju, internet usluge i striming aplikacije, pri čemu najčešće prati sadržaje na Instagramu. Dnevno provodi 180 minuta gledajući televiziju, 240 minuta na društvenim mrežama i 240 minuta na striming servisima. Ima poverenje u Instagram i Twitter, dok ne veruje u većinu TV stanica i internet portala. Kombinuje više medija za pronalaženje sadržaja, a najčešće prati informativno-zabavne programe i dokumentarne filmove. Smatra da su štetni sadržaji najzastupljeniji na televiziji, posebno na kanalu Pink."
Vojvodina,Žensko,Dvogodišnja ili trogodišnja srednja škola,Penzioner,srpska ,Grad (Urbano naselje),Više od 70,"Ispitanik koristi zemaljsku (terestrijalnu) antenu za gledanje televizije, provodeći 180 minuta dnevno uz TV, dok ne koristi kablovsku televiziju, internet usluge, striming aplikacije ili društvene mreže. Ima puno poverenje u TV stanice koje su vidljive na teritoriji Srbije, posebno u Pink, koji prati svakodnevno. Ispitanik preferira zabavni program, rijaliti i talk šou, dok se ne interesuje za dečiji, sportski ili verski program. Veruje da mediji ne sadrže štetne sadržaje i smatra da Pink zadovoljava njegova interesovanja."
Vojvodina,Muško,Dvogodišnja ili trogodišnja srednja škola,Penzioner,srpska ,Selo (Ruralno naselje),Više od 70,"Ispitanik koristi kablovsku televiziju kao primarni izvor medijskih sadržaja, provodeći 300 minuta dnevno gledajući televiziju i 60 minuta na društvenim mrežama. Ne koristi zemaljsku antenu, striming aplikacije ili informativne internet portale. Ima neutralan stav prema poverenju u većinu medija, dok internet portale smatra pouzdanim. Prati informativno-dokumentarne programe i putopise, a najčešće gleda RTS. Kombinuje više medija za pronalaženje sadržaja, a smatra da su štetni sadržaji u medijima uopšte odsutni. Zainteresovan je za zabavne i dečije programe, ali ne i za informativne ili sportske."
Beograd,Žensko,Četvorogodišnja srednja škola,Penzioner,srpska ,Grad (Urbano naselje),Više od 70,"Ispitanik koristi zemaljsku antenu za gledanje televizije, dok ne koristi kablovsku televiziju i striming aplikacije. Dnevno provodi 240 minuta uz televiziju, 20 minuta na informativnim internet portalima i 30 minuta na društvenim mrežama. Najčešće prati RTS i ima poverenje u taj medij, smatrajući da mu pruža sadržaj koji mu odgovara. Zainteresovan je za informativne i zabavne programe, dok ne prati dečije i sportske sadržaje. Kombinuje više medija za pronalaženje sadržaja, a najviše štetnih sadržaja primećuje na televiziji, posebno na Pinku."
Beograd,Muško,Magistratura/doktorat,"Zaposlen u javnoj administraciji (lokalna, republička)",srpska ,Grad (Urbano naselje),50 do 59,"Ispitanik koristi kablovsku televiziju i internet usluge, uključujući striming aplikacije, a najčešće prati kablovske TV stanice poput N1. Dnevno provodi 120 minuta gledajući televiziju i 150 minuta na striming servisima. Ima veoma malo poverenja u većinu medija, posebno u televizijske stanice, dok je najviše poverenja u N1, ali i dalje ne smatra da ima poverenje u njega. Zainteresovan je za informativne, dokumentarne i naučno-obrazovne programe, dok rijaliti i zabavni programi nisu od interesa. Kombinuje više medija za pronalaženje sadržaja i smatra da su štetni sadržaji najzastupljeniji na televiziji."
Zapadna Srbija sa Šumadijom,Muško,Visoka  škola ili fakultet,Nezaposlen (radno sposoban),srpska ,Grad (Urbano naselje),18 do 29,"Ispitanik koristi kablovsku televiziju, internet usluge i striming aplikacije, dok ne koristi zemaljsku antenu. Najčešće koristi internet, provodeći 30 minuta dnevno uz televiziju, 300 minuta na društvenim mrežama, i 100 minuta na striming servisima. Ima veoma malo poverenja u sve medijske kanale osim Facebook-a, gde ima neko poverenje. Prati sadržaje na Instagramu svakodnevno, dok na Tik-Toku i YouTube-u takođe redovno pronalazi zanimljive teme. Zainteresovan je za sportski program, dok za ostale medijske teme pokazuje minimalno interesovanje."
Zapadna Srbija sa Šumadijom,Žensko,Završena osnovna škola ili manje,Penzioner,srpska ,Selo (Ruralno naselje),Više od 70,"Ispitanik koristi zemaljsku antenu za gledanje televizije, provodeći 150 minuta dnevno uz TV i radio. Ima poverenje u nacionalne TV stanice kao što su RTS i PINK, dok ne prati kablovsku televiziju, internet portale ili društvene mreže. Najčešće prati informativno-zabavni program i muzičke sadržaje, dok su mu dokumentarni, naučno-obrazovni i sportski programi neinteresantni. Kombinuje više medija za pronalaženje sadržaja, a svakodnevno se informiše putem televizije i radija. Zainteresovan je za informativne i zabavne programe, ali ne vidi štetne sadržaje kao problem."
Zapadna Srbija sa Šumadijom,Muško,Četvorogodišnja srednja škola,Nezaposlen (radno sposoban),srpska ,Selo (Ruralno naselje),50 do 59,"Ispitanik koristi kablovsku televiziju kao primarnu medijsku uslugu, dok internet usluge i društvene mreže (posebno Facebook) takođe igraju značajnu ulogu u njegovim medijskim navikama. Dnevno provodi 180 minuta gledajući televiziju, 120 minuta na informativnim internet portalima i društvenim mrežama. Ima poverenje u Facebook, ali ne i u druge medije, smatrajući da su štetni sadržaji najzastupljeniji na televiziji, posebno na RTS-u. Zainteresovan je za dokumentarne i filmske sadržaje, dok rijaliti i dečiji program ne prati. Kombinuje više medija kako bi pronašao relevantne informacije."
Zapadna Srbija sa Šumadijom,Muško,Visoka  škola ili fakultet,"Zaposlen u javnoj administraciji (lokalna, republička)",ne želi da odgovori,Selo (Ruralno naselje),60 do 69,"Ispitanik koristi zemaljsku i kablovsku televiziju, kao i internet usluge i striming aplikacije. Najčešće koristi internet, provodeći 138 minuta dnevno na informativnim portalima i 112 minuta na društvenim mrežama, posebno Instagramu. Ima poverenje u nacionalne i regionalne TV stanice, kao i u internet portale, dok ne veruje društvenim mrežama poput Facebooka i TikToka. Prati dokumentarne filmove i šou programe, ali ne prati sportski program. Medijske sadržaje pronalazi isključivo preko društvenih mreža, a smatra da u medijima nije zastupljen štetan sadržaj."
